Issuer;Customer;Card;License plate No;Transactiondate;Product INV;Quantity;Gross CC;VAT;Voucher;Mileage;Corrected mileage;Additional info;Supply country;Site Town;Product DEL;Unitprice;Amount;Discount;Surcharge;VAT;Suppliercurrency;Invoice No;Invoice date;Invoiced?;VAT2010;State;Supplier;Cost 1;Cost 2;Reference No;Recordtype;Amount other;is listprice ?;Approval code;Date to;Final Trx.;LPI
710111;107248;203;BG 2640 - AC;2024-07-03 16:12:00;OMV EVRO DIZEL;42.78;8,320.71;1,386.78;00492725;0;0;                  ;SR;BESKA 1;OMV EVRO DIZEL;194.500;8,320.71;0.00;0.00;1,386.78;RSD;8914381536;2024-07-15;YES;NO;217;OMV-RS;;;;D;8,769.90;Yes;761220;2024-07-03;1;
710111;107248;203;BG 2640 - AC;2024-07-08 10:14:00;OMV EVRO DIZEL;39.43;7,787.43;1,297.90;00161871;0;0;                  ;SR;BESKA 2;OMV EVRO DIZEL;197.500;7,787.43;0.00;0.00;1,297.90;RSD;8914381536;2024-07-15;YES;NO;217;OMV-RS;;;;D;8,201.40;Yes;701459;2024-07-08;1;
710111;107248;203;BG 2640 - AC;2024-07-12 15:28:00;OMV EVRO DIZEL;42.43;8,273.85;1,378.97;00500213;0;0;                  ;SR;BESKA 1;OMV EVRO DIZEL;195.000;8,273.85;0.00;0.00;1,378.97;RSD;8914381536;2024-07-15;YES;NO;217;OMV-RS;;;;D;8,825.40;Yes;752902;2024-07-12;1;
710111;107248;203;BG 2640 - AC;2024-07-22 07:04:00;OMV EVRO DIZEL;45.19;8,586.10;1,431.02;00373586;0;0;                  ;SR;OBILAZNICA 1;OMV EVRO DIZEL;190.000;8,586.10;0.00;0.00;1,431.02;RSD;8914384142;2024-07-31;YES;NO;217;OMV-RS;;;;D;9,264.00;Yes;770431;2024-07-22;1;
710111;107248;203;BG 2640 - AC;2024-07-25 16:49:00;OMV EVRO DIZEL;48.74;9,260.60;1,543.43;00511837;0;0;                  ;SR;BESKA 1;OMV EVRO DIZEL;190.000;9,260.60;0.00;0.00;1,543.43;RSD;8914384142;2024-07-31;YES;NO;217;OMV-RS;;;;D;9,991.70;Yes;764909;2024-07-25;1;
710111;107248;203;BG 2640 - AC;2024-07-31 16:22:00;OMV EVRO DIZEL;40.59;7,630.92;1,271.82;00517315;0;0;                  ;SR;BESKA 1;OMV EVRO DIZEL;188.000;7,630.92;0.00;0.00;1,271.82;RSD;8914384142;2024-07-31;YES;NO;217;OMV-RS;;;;D;8,199.20;Yes;762236;2024-07-31;1;
710111;107248;203;BG 2640 - AC;2024-08-20 12:49:00;OMV EVRO DIZEL;42.32;7,786.88;1,297.81;00532127;0;0;                  ;SR;BESKA 2;OMV EVRO DIZEL;184.000;7,786.88;0.00;0.00;1,297.81;RSD;;;NO;NO;217;OMV-RS;;;;D;8,379.40;Yes;724954;2024-08-20;1;
710111;107248;203;BG 2640 - AC;2024-08-25 13:32:00;OMV EVRO DIZEL;41.92;7,587.52;1,264.59;00065614;0;0;                  ;SR;OBILAZNICA 1;OMV EVRO DIZEL;181.000;7,587.52;0.00;0.00;1,264.59;RSD;;;NO;NO;217;OMV-RS;;;;D;8,174.40;Yes;733214;2024-08-25;1;
710111;107248;203;BG 2640 - AC;2024-08-30 07:26:00;OMV EVRO DIZEL;39.72;7,189.32;1,198.22;00540503;0;0;                  ;SR;BESKA 2;OMV EVRO DIZEL;181.000;7,189.32;0.00;0.00;1,198.22;RSD;;;NO;NO;217;OMV-RS;;;;D;7,745.40;Yes;772622;2024-08-30;1;
710111;107248;369;BG 2484 - PC;2024-08-30 14:51:00;OMV EVRO DIZEL;43.62;7,895.22;1,315.87;00020285;296772;296772;                  ;SR;RUMA;OMV EVRO DIZEL;181.000;7,895.22;0.00;0.00;1,315.87;RSD;;;NO;NO;217;OMV-RS;;;;D;8,505.90;Yes;745158;2024-08-30;1;
710111;107248;369;BG 2484 - PC;2024-07-09 09:04:00;OMV EVRO DIZEL;50.00;9,750.00;1,625.00;00036449;292495;292495;                  ;SR;SABAC;OMV EVRO DIZEL;195.000;9,750.00;0.00;0.00;1,625.00;RSD;8914381536;2024-07-15;YES;NO;117;OMV-RS;;;;D;10,400.00;Yes;790455;2024-07-09;1;
